id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:yi1:一:num,一,一,yī,yi1,Num,1,1,1,1,L1-0427,7,"[""one"",""single"",""a (article)"",""as soon as"",""entire; whole; all; throughout"",""\""one\"" radical in Chinese characters (Kangxi radical 1)"",""also pr. [yao1] for greater clarity when spelling out numbers digit by digit""]",hsk30:L1-0427;cc-cedict:一|一[yi1],101,6.27,true,false,available-unhosted,reading
dex:w:yi1xia4r5:一下儿:x,一下儿,一下兒,yīxiàr,yi1 xia4 r5,,1,1,1,,L1-0434,1,"[""erhua form of 一下[yi1 xia4]""]",hsk30:L1-0434;cc-cedict:一下兒|一下儿[yi1 xia4 r5],18405,3.73,true,false,available-unhosted,reading
dex:w:yi1xie1:一些:x,一些,一些,yīxiē,yi1 xie1,,1,1,1,,L1-0439,1,"[""some; a few; a little; (following an adjective) slightly ...er""]",hsk30:L1-0439;cc-cedict:一些|一些[yi1 xie1],293,5.76,true,false,available-unhosted,reading
dex:w:yi1hui4r5:一会儿:x,一会儿,一會兒,yīhuìr,yi1 hui4 r5,,1,1,1,3,L1-0432,5,"[""a moment"",""a while"",""in a moment"",""now...now..."",""also pr. [yi1 hui3 r5]""]",hsk30:L1-0432;cc-cedict:一會兒|一会儿[yi1 hui4 r5],4376,4.52,true,false,available-unhosted,reading
dex:w:yi1ban4:一半:num,一半,一半,yībàn,yi1 ban4,Num,1,1,1,,L1-0431,1,"[""half""]",hsk30:L1-0431;cc-cedict:一半|一半[yi1 ban4],2747,4.77,true,false,available-unhosted,reading
dex:w:yi1kuai4r5:一块儿:n,一块儿,一塊兒,yīkuàir,yi1 kuai4 r5,N;Adv,1,1,1,,L1-0433,1,"[""erhua variant of 一塊|一块[yi1 kuai4]""]",hsk30:L1-0433;cc-cedict:一塊兒|一块儿[yi1 kuai4 r5],24827,3.56,true,false,available-unhosted,reading
dex:w:yi1yang4:一样:adj,一样,一樣,yīyàng,yi1 yang4,Adj,1,1,1,3,L1-0435,5,"[""same"",""like"",""equal to"",""the same as"",""just like""]",hsk30:L1-0435;cc-cedict:一樣|一样[yi1 yang4],303,5.75,true,false,available-unhosted,reading
dex:w:yi1dian3r5:一点儿:x,一点儿,一點兒,yīdiǎnr,yi1 dian3 r5,,1,1,1,,L1-0437,1,"[""erhua variant of 一點|一点[yi1 dian3]""]",hsk30:L1-0437;cc-cedict:一點兒|一点儿[yi1 dian3 r5],12390,3.95,true,false,available-unhosted,reading
dex:w:yi1qi3:一起:adv,一起,一起,yīqǐ,yi1 qi3,Adv;N,1,1,1,2,L1-0438,4,"[""(in) the same place"",""together; in company (with)"",""altogether; in total"",""an instance of; a case of (murder, accident, dispute etc)""]",hsk30:L1-0438;cc-cedict:一起|一起[yi1 qi3],362,5.66,true,false,available-unhosted,reading
dex:w:yi1bian1:一边:n,一边,一邊,yībiān,yi1 bian1,N;Adv,1,1,1,3,L1-0436,5,"[""one side"",""either side"",""on the one hand"",""on the other hand"",""doing while""]",hsk30:L1-0436;cc-cedict:一邊|一边[yi1 bian1],2240,4.88,true,false,available-unhosted,reading
dex:w:qi1:七:num,七,七,qī,qi1,Num,1,1,1,1,L1-0286,2,"[""seven"",""7""]",hsk30:L1-0286;cc-cedict:七|七[qi1],2537,4.81,true,false,available-unhosted,reading
dex:w:san1:三:num,三,三,sān,san1,Num,1,1,1,1,L1-0311,2,"[""three"",""3""]",hsk30:L1-0311;cc-cedict:三|三[san1],192,5.98,true,false,available-unhosted,reading
dex:w:shang4:上:n,上,上,shàng,shang4,N;V,1,1,1,1,L1-0315,6,"[""(bound form) up; upper; above; previous"",""first (of multiple parts)"",""to climb; to get onto; to go up"",""to attend (class or university)"",""(directional complement) up"",""(noun suffix) on; above""]",hsk30:L1-0315;cc-cedict:上|上[shang4],51,6.55,true,false,available-unhosted,reading
dex:w:shang4wu3:上午:n,上午,上午,shàngwǔ,shang4 wu3,N,1,1,1,1,L1-0322,2,"[""morning"",""CL:個|个[ge4]""]",hsk30:L1-0322;cc-cedict:上午|上午[shang4 wu3],3217,4.68,true,false,available-unhosted,reading
dex:w:shang4xue2:上学:x,上学,上學,shàngxué,shang4 xue2,,1,1,1,,L1-0323,2,"[""to go to school"",""to attend school""]",hsk30:L1-0323;cc-cedict:上學|上学[shang4 xue2],4802,4.47,true,false,available-unhosted,reading
dex:w:shang4ci4:上次:x,上次,上次,shàng cì,shang4 ci4,,1,1,1,,L1-0319,1,"[""last time""]",hsk30:L1-0319;cc-cedict:上次|上次[shang4 ci4],5616,4.39,true,false,available-unhosted,reading
dex:w:shang4ban1:上班:x,上班,上班,shàngbān,shang4 ban1,,1,1,1,2,L1-0316,4,"[""to go to work"",""to be on duty"",""to start work"",""to go to the office""]",hsk30:L1-0316;cc-cedict:上班|上班[shang4 ban1],3687,4.61,true,false,available-unhosted,reading
dex:w:shang4wang3:上网:x,上网,上網,shàngwǎng,shang4 wang3,,1,1,1,3,L1-0321,4,"[""to go online"",""to connect to the Internet"",""(of a document etc) to be uploaded to the Internet"",""(tennis, volleyball etc) to move in close to the net""]",hsk30:L1-0321;cc-cedict:上網|上网[shang4 wang3],4548,4.5,true,false,available-unhosted,reading
dex:w:shang4ke4:上课:x,上课,上課,shàngkè,shang4 ke4,,1,1,1,,L1-0320,3,"[""to go to class"",""to attend class"",""to go to teach a class""]",hsk30:L1-0320;cc-cedict:上課|上课[shang4 ke4],6867,4.28,true,false,available-unhosted,reading
dex:w:shang4che1:上车:x,上车,上車,shàng chē,shang4 che1,,1,1,1,,L1-0318,1,"[""to get on or into (a bus, train, car etc)""]",hsk30:L1-0318;cc-cedict:上車|上车[shang4 che1],8071,4.19,true,false,available-unhosted,reading
dex:w:shang4bian5:上边:n,上边,上邊,shàngbian,shang4 bian5,N,1,1,1,,L1-0317,7,"[""the top"",""above"",""overhead"",""upwards"",""the top margin"",""above-mentioned"",""those higher up""]",hsk30:L1-0317;cc-cedict:上邊|上边[shang4 bian5],29318,3.46,true,false,available-unhosted,reading
dex:w:xia4:下:n,下,下,xià,xia4,N;V,1,1,1,1,L1-0389,11,"[""down"",""downwards"",""below"",""lower"",""later"",""next (week etc)"",""second (of two parts)"",""to decline"",""to go down"",""to arrive at (a decision, conclusion etc)"",""measure word to show the frequency of an action""]",hsk30:L1-0389;cc-cedict:下|下[xia4],138,6.1,true,false,available-unhosted,reading
dex:w:xia4wu3:下午:n,下午,下午,xiàwǔ,xia4 wu3,N,1,1,1,1,L1-0395,3,"[""afternoon"",""CL:個|个[ge4]"",""p.m.""]",hsk30:L1-0395;cc-cedict:下午|下午[xia4 wu3],1675,5.01,true,false,available-unhosted,reading
dex:w:xia4ci4:下次:x,下次,下次,xià cì,xia4 ci4,,1,1,1,,L1-0393,1,"[""next time""]",hsk30:L1-0393;cc-cedict:下次|下次[xia4 ci4],4218,4.54,true,false,available-unhosted,reading
dex:w:xia4ban1:下班:x,下班,下班,xiàbān,xia4 ban1,,1,1,1,,L1-0390,2,"[""to finish work; to get off work"",""next service (train, bus etc)""]",hsk30:L1-0390;cc-cedict:下班|下班[xia4 ban1],8654,4.15,true,false,available-unhosted,reading
dex:w:xia4ke4:下课:x,下课,下課,xiàkè,xia4 ke4,,1,1,1,,L1-0394,4,"[""to finish class"",""to get out of class"",""(fig.) (esp. of a sports coach) to be dismissed"",""to be fired""]",hsk30:L1-0394;cc-cedict:下課|下课[xia4 ke4],29319,3.46,true,false,available-unhosted,reading
dex:w:xia4che1:下车:x,下车,下車,xià chē,xia4 che1,,1,1,1,,L1-0392,1,"[""to get off or out of (a bus, train, car etc)""]",hsk30:L1-0392;cc-cedict:下車|下车[xia4 che1],9621,4.09,true,false,available-unhosted,reading
dex:w:xia4bian5:下边:n,下边,下邊,xiàbian,xia4 bian5,N,1,1,1,,L1-0391,3,"[""under"",""the underside"",""below""]",hsk30:L1-0391;cc-cedict:下邊|下边[xia4 bian5],33201,3.38,true,false,available-unhosted,reading
dex:w:xia4yu3:下雨:x,下雨,下雨,xià yǔ,xia4 yu3,,1,1,1,1,L1-0396,1,"[""to rain""]",hsk30:L1-0396;cc-cedict:下雨|下雨[xia4 yu3],9313,4.11,true,false,available-unhosted,reading
dex:w:bu4:不:adv,不,不,bù,bu4,Adv,1,1,1,1,L1-0034,2,"[""no; not so"",""(bound form) not; un-""]",hsk30:L1-0034;cc-cedict:不|不[bu4],22,6.76,true,false,available-unhosted,reading
dex:w:bu4da4:不大:x,不大,不大,bù dà,bu4 da4,,1,1,1,,L1-0030,3,"[""not very"",""not too"",""not often""]",hsk30:L1-0030;cc-cedict:不大|不大[bu4 da4],1330,5.12,true,false,available-unhosted,reading
dex:w:bu4ke4qi5:不客气:x,不客气,不客氣,bù kèqì,bu4 ke4 qi5,,1,1,1,1,L1-0032,5,"[""you're welcome"",""don't mention it"",""impolite"",""rude"",""blunt""]",hsk30:L1-0032;cc-cedict:不客氣|不客气[bu4 ke4 qi5],36424,3.32,true,false,available-unhosted,reading
dex:w:bu4dui4:不对:adj,不对,不對,bùduì,bu4 dui4,Adj,1,1,1,,L1-0031,5,"[""incorrect"",""wrong"",""amiss"",""abnormal"",""queer""]",hsk30:L1-0031;cc-cedict:不對|不对[bu4 dui4],733,5.39,true,false,available-unhosted,reading
dex:w:bu4yong4:不用:adv,不用,不用,bùyòng,bu4 yong4,Adv,1,1,1,,L1-0033,1,"[""need not""]",hsk30:L1-0033;cc-cedict:不用|不用[bu4 yong4],1479,5.07,true,false,available-unhosted,reading
dex:w:dong1:东:n,东,東,dōng,dong1,N,1,1,1,3,L1-0084,3,"[""east"",""host (i.e. sitting on east side of guest)"",""landlord""]",hsk30:L1-0084;cc-cedict:東|东[dong1],1187,5.17,true,false,available-unhosted,reading
